,IRASPSC,F450,F450_err,F450_qual,F850,F850_err,F850_qual,alpha,alpha_ci_low,alpha_ci_hi,alpha_ci_qual
25,IRAS06027-1628,123.79513490000002,37.97961337000001,0,56.3,4.75,0,-1.243198360890292,-2.391055260207108,-0.09496241329214117,0
26,IRAS06036-2411,328.70324189999997,109.5677473,-1,14.2,2.73,0,0.07478734710031243,-6.668943422803345,5.0,1
27,IRAS06176-1036,2852.8,228.22400000000002,0,676.2,54.096000000000004,0,-2.2622407472435024,-2.669878528963674,-1.8562472562019146,0
28,IRAS06193-0349,170.1707022,56.7235674,-1,17.5,2.32,0,0.758852119382014,-5.082465370524263,5.0,1
29,IRAS06250+6134,209.76682926,69.92227642,-1,14.580000000000002,4.86,-1,,,,-99
30,IRAS06300+6058,224.25671569999997,62.51615105999999,0,57.5,5.11,0,-2.1411135381294315,-3.1924043082827316,-1.0887169129934626,0
31,IRAS06331+3829,183.72682509999999,56.53622205999999,0,59.3,5.32,0,-1.7865425412121132,-2.9402918326809178,-0.6338795410913267,0
32,IRAS06349-0121,377.96487089999994,125.98829029999999,-1,36.8,5.16,0,0.7372664579062236,-5.149029192181072,5.0,1
33,IRAS06363+5954,226.69789041,75.56596347,-1,14.76,4.92,-1,,,,-99
34,IRAS07034-3551,667.1624385,222.38747949999998,-1,31.1,6.01,0,0.12992350248277149,-6.527715899006013,5.0,1
35,IRAS07152-3444,659.6924421000001,219.89748070000002,-1,28.0,5.99,0,0.06954759009183076,-6.708612088094459,5.0,1
36,IRAS07245+4605,482.4590028,160.8196676,-1,27.9,3.2,0,0.3009859601698417,-6.115356827178513,5.0,1
37,IRAS07434-3750,1037.651175,273.5150719,0,179.9,14.392000000000001,0,-2.7608493258925875,-3.749454593682474,-1.7656429667654596,0
38,IRAS07585-1242,226.39446081,75.46482027,-1,11.3,2.53,0,0.17580657756193574,-6.418944851197057,5.0,1
39,IRAS08011-3627,549.0299021000001,141.36813600000002,0,111.3,8.904,0,-2.508092555526953,-3.479665762516711,-1.5374279649703084,0
40,IRAS08200-2528,238.44932756999998,79.48310919,-1,14.669999999999998,4.89,-1,,,,-99
41,IRAS08220-0821,236.12045307,78.70681769,-1,13.6,2.5399999999999996,0,0.2816697001730191,-6.137226719297712,5.0,1
42,IRAS08375-1707,2370.352347,609.8730398,0,21.6,3.85,0,-7.363576281152545,-8.469620442290966,-6.241863247283968,0
43,IRAS09076+3110,330.6487305,63.64725115000001,0,84.2,6.736000000000001,0,-2.1505050712516893,-2.8998395474622973,-1.3975145373480218,0
44,IRAS09116-2439,577.5162924,63.24683786000001,0,184.9,14.792000000000002,0,-1.7894591738714805,-2.27816296389142,-1.3001193015077623,0
45,IRAS09425+3444,224.37937119999998,56.06958859,0,71.7,5.736000000000001,0,-1.7832210891667422,-2.730460920465329,-0.8428776356851525,0
46,IRAS09429-2148,315.52592480000004,49.02258390000001,0,58.6,4.688000000000001,0,-2.6464064014979813,-3.2778596520400125,-2.015788813790473,0
47,IRAS10411+6902,258.05245305,86.01748435,-1,14.97,4.99,-1,,,,-99
48,IRAS11445+4344,136.30915884,45.43638628,-1,13.11,4.37,-1,,,,-99
